topology,location_a,base_topology,section,organization 
INE-VIRL/CCIE.RSv5.Workbook/advanced.technology.labs/ebgp.multihop.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/advanced.technology.labs/ebgp.multihop.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/INE.CCIE.RSv5.Workbook.14.node.base.topology.virl,CCIE.RSv5.Workbook,https://ine.com/
INE-VIRL/CCIE.RSv5.Workbook/advanced.technology.labs/ebgp.with.r9.to.r10.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/advanced.technology.labs/ebgp.with.r9.to.r10.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/INE.CCIE.RSv5.Workbook.14.node.base.topology.virl,CCIE.RSv5.Workbook,https://ine.com/
INE-VIRL/CCIE.RSv5.Workbook/advanced.technology.labs/eigrpv6.basic.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/advanced.technology.labs/eigrpv6.basic.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/INE.CCIE.RSv5.Workbook.14.node.base.topology.virl,CCIE.RSv5.Workbook,https://ine.com/
INE-VIRL/CCIE.RSv5.Workbook/advanced.technology.labs/eigrpv6.initial.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/advanced.technology.labs/eigrpv6.initial.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/INE.CCIE.RSv5.Workbook.14.node.base.topology.virl,CCIE.RSv5.Workbook,https://ine.com/
INE-VIRL/CCIE.RSv5.Workbook/advanced.technology.labs/ibgp.route.reflection.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/advanced.technology.labs/ibgp.route.reflection.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/INE.CCIE.RSv5.Workbook.14.node.base.topology.virl,CCIE.RSv5.Workbook,https://ine.com/
INE-VIRL/CCIE.RSv5.Workbook/advanced.technology.labs/ibgp.synchronization.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/advanced.technology.labs/ibgp.synchronization.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/INE.CCIE.RSv5.Workbook.14.node.base.topology.virl,CCIE.RSv5.Workbook,https://ine.com/
INE-VIRL/CCIE.RSv5.Workbook/advanced.technology.labs/initial.bgp.base.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/advanced.technology.labs/initial.bgp.base.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/INE.CCIE.RSv5.Workbook.14.node.base.topology.virl,CCIE.RSv5.Workbook,https://ine.com/
INE-VIRL/CCIE.RSv5.Workbook/advanced.technology.labs/initial.bgp.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/advanced.technology.labs/initial.bgp.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/INE.CCIE.RSv5.Workbook.14.node.base.topology.virl,CCIE.RSv5.Workbook,https://ine.com/
INE-VIRL/CCIE.RSv5.Workbook/advanced.technology.labs/initial.dhcp.authorized.arp.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/advanced.technology.labs/initial.dhcp.authorized.arp.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/INE.CCIE.RSv5.Workbook.14.node.base.topology.virl,CCIE.RSv5.Workbook,https://ine.com/
INE-VIRL/CCIE.RSv5.Workbook/advanced.technology.labs/initial.dhcp.information.option.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/advanced.technology.labs/initial.dhcp.information.option.virl,https://raw.githubusercontent.com/frankie336/INE-VIRL/master/CCIE.RSv5.Workbook/INE.CCIE.RSv5.Workbook.14.node.base.topology.virl,CCIE.RSv5.Workbook,https://ine.com/
